OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,REGION,OS_ID,GDB_GEOMATTR_DATA
1,Wilson Park,City of Boston, ,1,Allston-Brighton,0.09718357,Off 1686 Commonwealth Ave.,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,PWD,PARK_Maintenance_Region 4,2000,
2,James H. Roberts Playground,City of Boston,A97,3,Allston-Brighton,1.00413568,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,"Hooker-Sorrento Street Playground; Roberts Playground",BPRD,PARK_Maintenance_Region 4,156,
3,Smith Playground,City of Boston,A97/LWCF,3,Allston-Brighton,15.02524742,235 Western Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,284,
4,Fern Square,City of Boston,A97,1,Allston-Brighton,0.04450911,Opposite 101 Franklin Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,"James F. Collins Square, Franklin Square", ,PARK_Maintenance_Region 4,115,
5,Ringer Playground,City of Boston,A97/LWCF/USH,3,Allston-Brighton,10.26309317, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,259,
6,McKinney Playground,City of Boston,A97/USH,3,Allston-Brighton,5.89186071,61-74 Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,193,
7,Hobart Park,City of Boston,A97/LWCF,3,Allston-Brighton,0.80891409,Opposite 18 Ranlegh Rd.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,154,
8,Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39538045,Opposite 381 Market Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,PARK_Cemetery Maintenance Request,188,
9,Jackson Square,City of Boston,A97,1,Allston-Brighton,0.12032328,Opposite 63 Chestnut Hill Ave,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,PARK_Maintenance_Region 4,162,
10,Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.96749208, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3000,
