Park,Location,Feature(s)
Adams/King Playground,Dorchester,"Playground, Street Hockey"
Amatucci Playground,Hyde Park,"Playground, Basketball"
American Legion Playground,East Boston,"Playground, Basketball, Players Bench, Soccer"
A Street Park,South Boston,"Playground, Dog Park"
Back Bay Fens,Fenway/Longwood,"Playground, Basketball, Players Bench"
Beauford Play Area,Roxbury,Playground
Beethoven School Play Area,West Roxbury,Playground
Billings Field,West Roxbury,"Basketball, Players Bench, Spray Play, Tennis, Playground"
Boston Common,Back Bay/Beacon Hill,"Spray Play, Playground, Tennis, Dog Park"
Brewer-Burroughs Tot Lot,Jamaica Plain,Playground
Buckley Playground,South Boston,"Playground, Spray Play, Basketball"
Bynoe Park,Roxbury,"Basketball, Spray Play, Tennis, Playground, Players Bench"
Byrne Playground,Dorchester,"Spray Play, Street Hockey, Tennis, Playground"
Caldwell Street Play Area,Charlestown,"Spray Play, Playground"
Carter Playground,Roxbury,"Tennis, Playground, Spray Play"
Cassidy Playground,Allston-Brighton,"Players Bench, Tennis"
Ceylon Park I,Dorchester,"Playground, Basketball, Spray Play"
Children's Park,Dorchester,"Playground, Spray Play"
Christopher Columbus Park,Central Boston,"Playground, Spray Play"
Christopher Lee Playground,South Boston,"Basketball, Playground"
Clarendon Street Playlot,Back Bay/Beacon Hill,Playground
Clifford Playground,Roxbury,"Players Bench, Playground, Tennis, Basketball"
Cook Street Play Area,Charlestown,Playground
Crawford Street Playground,Roxbury,"Players Bench, Playground"
Cuneo Park,East Boston,Playground
Cutillo Park,Central Boston,"Basketball, Playground"
Deer Street Park,Dorchester,Playground
Defilippo Playground,Central Boston,"Playground, Dog Park, Basketball, Street Hockey"
Dennis Street Park,Roxbury,"Spray Play, Playground"
Doherty/Gibson Playground,Dorchester,"Playground, Players Bench, Basketball"
Doherty Playground,Charlestown,"Basketball, Playground, Spray Play"
Dorchester Park,Dorchester,"Tennis, Playground"
Downer Avenue Playground,Dorchester,"Dog Park, Basketball, Playground"
Draper Playground,West Roxbury,"Playground, Basketball, Players Bench"
Dudley Town Common,Roxbury,Spray Play
East Boston Memorial Park,East Boston,"Tennis, Spray Play, Playground, Players Bench"
Edgerly Road Playground,Fenway/Longwood,"Playground, Spray Play"
Edwards Playground,Charlestown,"Street Hockey, Bench, Basketball, Playground"
Elliot Norton Park,Central Boston,Playground
Elmhurst Street Park,Dorchester,"Spray Play, Playground"
English HS Athletic Fields,Jamaica Plain,"Basketball, Tennis, Players Bench"
Erie/Ellington Playground,Dorchester,"Spray Play, Playground"
Ernst Chery Jr. Playground,Mattapan,"Spray Play, Playground"
Fallon Field,Roslindale,"Players Bench, Street Hockey, Spray Play, Tennis, Basketball, Playground"
Fenelon Street Playground,Dorchester,Basketball
Fidelis Way Park,Allston-Brighton,"Basketball, Spray Play, Playground"
Flaherty Park,South Boston,Playground
Flaherty Playground,Jamaica Plain,Playground
Forbes Street Playground,Jamaica Plain,Playground
Franklin Park I,Roxbury,"Spray Play, Basketball, Tennis, Playground"
Franklin Park II,Roxbury,Players Bench
Frieda Garcia Park,Back Bay/Beacon Hill,Playground
Garvey Playground,Dorchester,"Dog Park, Playground, Players Bench, Street Hockey, Basketball"
George Wright Golf Course,Hyde Park,Tennis
Gibbons Playground,Mission Hill,"Playground, Spray Play"
Hannon Playground,Roxbury,"Players Bench, Basketball, Playground"
Harambee Park,Dorchester,"Netball, Spray Play, Playground, Players Bench, Basketball"
