,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
164,Boston - Another Course To College,350541,     270,9.0,0.7,2.2,0.0,0.0,0.7,0.0,0.0,not D4
165,Boston - Baldwin Early Learning Center,350003,     168,0.0,,,,,,,,not D4
166,Boston - Beethoven,350021,     337,0.0,,,,,,,,not D4
167,Boston - Blackstone,350390,     609,4.0,,,,,,,,not D4
168,Boston - Boston Adult Academy,350548,     255,0.0,,,,,,,,not D4
169,Boston - Boston Arts Academy,350546,     480,6.0,0.0,1.3,0.0,0.0,0.4,0.0,0.2,not D4
170,Boston - Boston Collaborative High School,350755,     305,0.0,,,,,,,,not D4
171,Boston - Boston Community Leadership Academy,350558,     519,23.0,0.2,4.2,0.0,0.0,0.0,0.0,0.0,not D4
172,Boston - Boston International High School,350507,     521,10.0,0.0,1.3,0.0,0.0,0.6,0.0,0.0,not D4
173,Boston - Boston Latin,350560,"   2,472",16.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,not D4
174,Boston - Boston Latin Academy,350545,"   1,775",44.0,1.1,2.0,0.0,0.0,0.1,0.0,0.0,not D4
175,Boston - Boston Teachers Union School,350012,     314,10.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,E13
176,Boston - Brighton High,350505,     575,40.0,0.2,6.8,0.0,0.0,0.2,0.0,0.0,not D4
177,Boston - Carter School,350036,      30,0.0,,,,,,,,not D4
178,Boston - Charles H Taylor,350054,     486,0.0,,,,,,,,not D4
179,Boston - Charles Sumner,350052,     566,0.0,,,,,,,,not D4
180,Boston - Charlestown High,350515,     981,15.0,0.1,1.4,0.0,0.0,0.0,0.0,0.0,not D4
181,Boston - Clarence R Edwards Middle,350430,     407,47.0,2.2,10.8,0.0,0.0,1.0,0.0,0.0,not D4
182,Boston - Community Academy,350518,      86,20.0,1.2,22.1,0.0,0.0,4.7,0.0,0.0,not D4
183,Boston - Community Academy of Science and Health,350581,     420,20.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,not D4
184,Boston - Condon K-8,350146,     872,2.0,,,,,,,,not D4
185,Boston - Curley K-8 School,350020,"   1,008",13.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,E13
186,Boston - Curtis Guild,350062,     271,0.0,,,,,,,,not D4
187,Boston - Dante Alighieri Montessori School,350066,     106,0.0,,,,,,,,not D4
188,Boston - David A Ellis,350072,     471,5.0,,,,,,,,not D4
189,Boston - Dearborn,350074,     554,35.0,0.2,6.3,0.0,0.0,0.2,0.0,0.0,not D4
190,Boston - Dennis C Haley,350077,     428,3.0,,,,,,,,not D4
191,Boston - Donald Mckay,350080,     841,12.0,0.8,1.2,0.0,0.0,0.0,0.0,0.0,not D4
192,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,     209,1.0,,,,,,,,B3
193,Boston - Dr. William Henderson Lower,350266,     226,0.0,,,,,,,,C11
194,Boston - Dr. William Henderson Upper,350426,     751,20.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,not D4
195,Boston - ELC - West Zone,350006,     124,0.0,,,,,,,,not D4
196,Boston - East Boston Early Childhood Center,350009,     224,0.0,,,,,,,,not D4
197,Boston - East Boston High,350530,"   1,202",12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,not D4
198,Boston - Edison K-8,350375,     664,22.0,0.0,3.3,0.0,0.0,0.2,0.0,0.0,not D4
199,Boston - Edward Everett,350088,     254,0.0,,,,,,,,C11
200,Boston - Eliot Elementary,350096,     739,4.0,,,,,,,,not D4
201,Boston - Ellis Mendell,350100,     279,1.0,,,,,,,,not D4
202,Boston - Excel High School,350522,     574,54.0,0.2,9.2,0.0,0.2,0.2,0.0,0.0,not D4
203,Boston - Fenway High School,350540,     399,10.0,0.3,2.3,0.0,0.0,0.0,0.0,0.0,not D4
204,Boston - Franklin D Roosevelt,350116,     465,18.0,1.3,3.2,0.0,0.0,0.0,0.0,0.0,not D4
205,Boston - Gardner Pilot Academy,350326,     403,12.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,not D4
206,Boston - George H Conley,350122,     199,0.0,,,,,,,,not D4
207,Boston - Greater Egleston Community High School,350543,     170,8.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,not D4
208,Boston - Harvard-Kent,350200,     391,0.0,,,,,,,,not D4
209,Boston - Haynes Early Education Center,350010,     231,0.0,,,,,,,,not D4
210,Boston - Henry Grew,350135,     256,0.0,,,,,,,,not D4
211,Boston - Higginson,350015,     174,0.0,,,,,,,,not D4
212,Boston - Higginson/Lewis K-8,350377,     254,2.0,,,,,,,,not D4
213,Boston - Horace Mann School for the Deaf,350750,      88,2.0,,,,,,,,not D4
