School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,375,1.0,0.3,0.0,0.0,0.0,1.2,2018-19
Abington - Abington High,10505,540,3.0,0.6,0.6,0.0,0.8,0.9,2018-19
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,226,1.0,0.4,0.0,1.4,0.0,0.0,2018-19
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,834",8.0,0.4,0.0,0.5,0.0,1.2,2018-19
Adams-Cheshire - Hoosac Valley High School,6030505,292,5.0,1.7,1.2,0.0,2.7,2.3,2018-19
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,566,2.0,0.4,0.0,0.0,0.0,1.7,2018-19
Agawam - Agawam High,50505,"1,104",19.0,1.7,1.1,1.7,1.1,2.9,2018-19
Amesbury - Amesbury High,70505,560,8.0,1.4,0.0,1.4,0.0,4.3,2018-19
Amesbury - Amesbury Innovation High School,70515,51,4.0,7.8,0.0,10.0,7.1,13.3,2018-19
Amherst-Pelham - Amherst Regional High,6050505,917,13.0,1.4,0.0,1.3,0.9,3.6,2018-19
Andover - Andover High,90505,"1,761",2.0,0.1,0.0,0.0,0.2,0.2,2018-19
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,147,3.0,2.0,1.8,3.0,,,2018-19
Arlington - Arlington High,100505,"1,380",7.0,0.5,0.0,0.0,1.2,0.9,2018-19
Ashburnham-Westminster - Oakmont Regional High School,6100505,657,4.0,0.6,0.0,1.1,0.6,0.6,2018-19
Ashland - Ashland High,140505,832,5.0,0.6,0.4,0.0,1.4,0.5,2018-19
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,134",2.0,0.2,0.0,0.3,0.0,0.4,2018-19
Athol-Royalston - Athol High,6150505,335,12.0,3.6,2.4,3.3,3.5,5.3,2018-19
Atlantis Charter (District) - Atlantis Charter School,4910550,304,3.0,1.0,2.4,1.2,0.0,0.0,2018-19
Attleboro - Attleboro Community Academy,160515,58,15.0,25.9,,,16.7,27.3,2018-19
Attleboro - Attleboro High,160505,"1,732",10.0,0.6,0.4,0.4,0.7,0.8,2018-19
Auburn - Auburn Senior High,170505,726,6.0,0.8,0.0,0.5,0.0,2.6,2018-19
Avon - Avon Middle High School,180510,196,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,389,2.0,0.5,0.0,1.1,0.0,1.0,2018-19
Barnstable - Barnstable High,200505,"1,426",25.0,1.8,1.8,0.8,2.2,2.2,2018-19
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,254,8.0,3.1,3.0,1.3,3.3,6.0,2018-19
Bedford - Bedford High,230505,835,2.0,0.2,0.0,0.0,1.0,0.0,2018-19
Belchertown - Belchertown High,240505,682,3.0,0.4,0.0,1.1,0.0,0.6,2018-19
Bellingham - Bellingham High School,250505,579,6.0,1.0,0.0,1.3,2.1,0.7,2018-19
Bellingham - Keough Memorial Academy,250510,29,2.0,6.9,0.0,0.0,12.5,11.1,2018-19
Belmont - Belmont High,260505,"1,308",3.0,0.2,0.0,0.0,0.6,0.3,2018-19
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,166,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
Berkshire Hills - Monument Mt Regional High,6180505,525,5.0,1.0,0.7,0.8,0.9,1.4,2018-19
Berlin-Boylston - Tahanto Regional High,6200505,312,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
Beverly - Beverly High,300505,"1,250",17.0,1.4,0.3,0.6,1.7,3.2,2018-19
Billerica - Billerica Memorial High School,310505,"1,148",9.0,0.8,0.3,0.8,0.9,1.2,2018-19
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,"1,230",0.0,0.0,0.0,0.0,0.0,0.0,2018-19
Blackstone-Millville - Blackstone Millville RHS,6220505,437,2.0,0.5,0.8,0.0,0.9,0.0,2018-19
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,856,1.0,0.1,0.0,0.0,0.0,0.5,2018-19
Boston - Another Course To College,350541,224,11.0,4.9,3.2,3.8,5.8,7.0,2018-19
Boston - Boston Adult Academy,350548,144,15.0,10.4,,,2.9,30.8,2018-19
Boston - Boston Arts Academy,350546,469,1.0,0.2,0.0,0.0,0.8,0.0,2018-19
Boston - Boston Collaborative High School,350755,159,40.0,25.2,,16.7,20.8,27.5,2018-19
Boston - Boston Community Leadership Academy,350558,472,14.0,3.0,3.0,2.6,4.4,1.8,2018-19
Boston - Boston International High School,350507,369,10.0,2.7,1.5,6.4,0.0,2.7,2018-19
Boston - Boston Latin,350560,"1,623",1.0,0.1,0.0,0.0,0.0,0.3,2018-19
Boston - Boston Latin Academy,350545,"1,186",4.0,0.3,0.0,0.0,0.4,1.1,2018-19
Boston - Brighton High,350505,564,64.0,11.3,9.4,8.1,8.3,16.8,2018-19
Boston - Carter School,350036,15,0.0,0.0,,,,0.0,2018-19
Boston - Charlestown High,350515,842,77.0,9.1,8.7,15.0,6.9,7.0,2018-19
Boston - Community Academy,350518,45,15.0,33.3,9.1,33.3,26.7,,2018-19
Boston - Community Academy of Science and Health,350581,346,13.0,3.8,7.7,2.5,4.7,0.0,2018-19
Boston - Dearborn,350074,206,4.0,1.9,1.2,1.8,0.0,6.1,2018-19
Boston - Dr. William Henderson Upper,350426,240,5.0,2.1,3.2,1.6,3.5,0.0,2018-19
Boston - East Boston High,350530,"1,178",65.0,5.5,3.8,11.8,3.4,3.7,2018-19
Boston - Excel High School,350522,518,28.0,5.4,3.1,5.2,6.7,6.6,2018-19
Boston - Fenway High School,350540,374,2.0,0.5,1.0,0.0,1.1,0.0,2018-19
Boston - Greater Egleston Community High School,350543,95,30.0,31.6,16.7,25.0,28.6,42.9,2018-19
Boston - Horace Mann School for the Deaf,350750,32,0.0,0.0,0.0,,0.0,0.0,2018-19
Boston - Jeremiah E Burke High,350525,403,34.0,8.4,8.4,6.5,9.3,9.2,2018-19
Boston - Lyon Upper 9-12,350655,133,3.0,2.3,6.7,0.0,0.0,2.6,2018-19
Boston - Madison Park High,350537,858,41.0,4.8,2.9,5.9,6.2,4.0,2018-19
Boston - Margarita Muniz Academy,350549,295,4.0,1.4,1.2,1.4,0.0,3.2,2018-19
Boston - New Mission High School,350542,343,1.0,0.3,0.0,0.0,1.4,0.0,2018-19
Boston - O'Bryant School Math/Science,350575,"1,201",2.0,0.2,0.0,0.0,0.0,0.8,2018-19
Boston - Quincy Upper School,350565,242,2.0,0.8,0.0,1.6,0.0,1.7,2018-19
Boston - Snowden International School at Copley,350690,489,5.0,1.0,2.5,0.0,0.0,1.0,2018-19
Boston - TechBoston Academy,350657,552,8.0,1.4,0.0,2.8,2.7,0.0,2018-19
Boston - The English High,350535,521,18.0,3.5,3.6,3.0,4.1,3.0,2018-19
Boston - Urban Science Academy,350579,323,15.0,4.6,4.1,5.4,6.3,3.1,2018-19
Boston - West Roxbury Academy,350658,406,31.0,7.6,8.5,7.4,13.5,3.9,2018-19
Boston - William McKinley,350363,168,20.0,11.9,16.1,15.7,8.6,0.0,2018-19
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,313,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,421,155.0,36.8,52.1,42.9,,29.1,2018-19
