X,Y,ADDRESS,NAME,ZIP,PARCEL_ID,OBJECTID_1,OBJECTID,BPD_ID,ID,FTSQFT,STORY_HT_,CENTROIDX,CENTROIDY
774999.899922326,2957181.49997464,40 New Sudbury Street,District A-1 Police Station,02114,0302626000,1,1,1,42,6882,5,-71.0603,42.3618
772639.15809612,2949014.50931104,650 Harrison Avenue,District D-4 Police,02116,0500826000,2,2,2,42,12382,3,-71.0707,42.3456
763108.700167239,2938134.2001169,3345 Washington Street,District E-13 Police Station,02130,1102261000,3,3,3,42,8312,2,-71.1046,42.3097
766640.400202528,2929034.10007642,1165 Blue Hill Avenue,District B-3 Police Station,02126,1404623000,4,4,4,42,9740,1.5,-71.0917,42.2847
757882.599874377,2918710.29987481,1249 Hyde Park Avenue,District E-18 Police Station,02136,1809107000,5,5,5,42,8585,2,-71.1243,42.2565
750629.399995625,2952541.50003432,301 Washington Street,District D-14 Police Station,02135,2202387000,6,6,6,42,8712,2,-71.1505,42.3494
766796.60020268,2947048.89990121,One Schroeder Plaza,Boston Police Headquarters,02120,902771010,7,7,7,42,194000,4,-71.0908,42.3341
780842.49999176,2960584.39994581,69 Paris Street,District A-7 Police Station,02128,0105699000,8,8,8,42,5063,2,-71.0386,42.3711
777833.900116965,2948946.79980697,101 West Broadway,District C-6 Police Station,02127,0601606000,9,9,9,42,8528,2,-71.05,42.3392
768627.000204384,2944918.20005922,2400 Washington St,District B-2 Police Station,02119,1201180000,10,10,10,42,10809,3,-71.0841,42.3283
751317.09977226,2929725.09994908,1708 Centre Street,District E-5 Police Station,02132,2005719000,11,11,11,42,0,7708,-71.1484,42.2868
775429.39982672,2933950.09976101,40 Gibson Street,District C-11 Police Station,02122,1600673000,12,12,12,42,15338,2,-71.0592,42.2981
