OBJECTID,DISTRICT,ID,BPDGIS_GIS,DISTRICT_,DISTRICT__,ShapeSTArea,ShapeSTLength
1,A15,A15,A,15,15,37982842.5200341,57556.8599640812
2,A7,A7,A,7,07,140115093.289239,138468.216080044
3,A1,A1,A,1,01,44455821.7954708,49080.7863697645
4,C6,C6,C,6,06,123692841.930699,93915.3891078653
5,D4,D4,D,4,04,70005528.4948377,41040.3474290645
6,D14,D14,D,14,14,123625268.61866,58025.0316270209
7,E13,E13,E,13,13,112047351.855404,67548.4615818057
8,E5,E5,E,5,05,191067543.475618,87149.3258548763
9,B3,B3,B,3,03,93158595.6436815,60465.3045813789
10,C11,C11,C,11,11,132933512.284732,120593.614179729
11,E18,E18,E,18,18,163284492.373583,78932.4580703873
12,B2,B2,B,2,02,119573041.889385,70994.4299061656
