Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade,location,coordinates,lat,lon
Boston: Adams Elementary School,350302,Public School,Principal,Joanna McKeigue Cruz,165 Webster Street,,East Boston,MA,2128,617-635-8383,617-635-7822,"PK,K,01,02,03,04,05,06","165 Webster Street, East Boston, MA","(42.36552815, -71.03494070052452)",42.36552815,-71.03494070052452
Boston: Alighieri Dante Montessori School,350066,Public School,Principal,Jessica Gorham,37 Gove Street,,East Boston,MA,2128,617-635-8529,617-635-7691,"PK,K,01,02,03,04,05,06","37 Gove Street, East Boston, MA","(42.3715646, -71.0380083)",42.3715646,-71.0380083
Boston: Another Course To College,350541,Public School,Principal,Michele Pellam,612 Metropolitan Av,,Hyde Park,MA,2136,617-635-8865,617-635-8866,"09,10,11,12","612 Metropolitan Av, Hyde Park, MA","(42.26519695, -71.11739507455079)",42.26519695,-71.11739507455079
Boston: Baldwin Early Learning Pilot Academy,350003,Public School,Principal,Min-jen Taylor,121 Corey Road,,Brighton,MA,2135,617-635-8409,617-635-9544,"PK,K,01","121 Corey Road, Brighton, MA","(42.3420737, -71.14044353378111)",42.3420737,-71.14044353378111
Boston: Bates Elementary School,350278,Public School,Principal,Rodolfo Morales,426 Beech Street,,Roslindale,MA,2131,617-635-8064,617-635-8068,"PK,K,01,02,03,04,05,06","426 Beech Street, Roslindale, MA","(42.2776778, -71.13511027886919)",42.2776778,-71.13511027886919
Boston: Beethoven Elementary School,350021,Public School,Principal,Edward Puliafico,5125 Washington Street,,West Roxbury,MA,2132,617-635-8149,617-635-8155,"PK,K,01,02","5125 Washington Street, West Roxbury, MA","(42.263526, -71.1558297)",42.263526,-71.1558297
Boston: Blackstone Elementary School,350390,Public School,Principal,Shammah Daniels,380 Shawmut Avenue,,Boston,MA,2118,617-635-8471,617-635-7975,"PK,K,01,02,03,04,05,06","380 Shawmut Avenue, Boston, MA","(42.341143, -71.072126)",42.341143,-71.072126
Boston: Boston Adult Tech Academy,350548,Public School,Principal,Benjamin Helfat,20 Church St,,Back Bay,MA,2116,617-635-1542,617-635-6362,"11,12","20 Church St, Back Bay, MA",,,
Boston: Boston Arts Academy,350546,Public School,Principal,Anne Clark,174 Ipswich Street,,Boston,MA,2215,617-635-6470,617-635-8854,"09,10,11,12","174 Ipswich Street, Boston, MA","(42.347005, -71.094415)",42.347005,-71.094415
Boston: Boston Collaborative High School,350755,Public School,Principal,Sherri Neasman,215 Dorchester St,,South Boston,MA,2127,617-635-8035,617-635-6821,"09,10,11,12","215 Dorchester St, South Boston, MA","(42.333728300000004, -71.05090619565084)",42.333728300000004,-71.05090619565084
Boston: Boston Community Leadership Academy,350558,Public School,Principal,Ondrea Johnston,655 Metropolitan Ave,,Hyde Park,MA,2136,617-635-8937,617-635-8942,"07,08,09,10,11,12","655 Metropolitan Ave, Hyde Park, MA","(42.263065499999996, -71.11787896758847)",42.263065499999996,-71.11787896758847
Boston: Boston International High School & Newcomers Academy,350507,Public School,Principal,Thomas King,100 Maxwell St,,Dorchester,MA,2124,617-635-9373,617-635-8224,"09,10,11,12","100 Maxwell St, Dorchester, MA","(42.2812096, -71.0808842)",42.2812096,-71.0808842
Boston: Boston Latin Academy,350545,Public School,Principal,Gavin Smith,205 Townsend Street,,Dorchester,MA,2121,617-635-9957,617-635-6696,"07,08,09,10,11,12","205 Townsend Street, Dorchester, MA","(42.31612785, -71.08437137298296)",42.31612785,-71.08437137298296
Boston: Boston Latin School,350560,Public School,Principal,Jason Gallagher,78 Avenue Louis Pasteur,,Boston,MA,2115,617-635-8895,617-635-7883,"07,08,09,10,11,12","78 Avenue Louis Pasteur, Boston, MA","(42.337865949999994, -71.10127414497714)",42.337865949999994,-71.10127414497714
Boston: Boston Teachers Union K-8 Pilot,350012,Public School,Principal,Lauren Clarke-Mason,25 Walk Hill Street,,Jamaica Plain,MA,2130,617-635-7717,617-635-6982,"PK,K,01,02,03,04,05,06,07,08","25 Walk Hill Street, Jamaica Plain, MA","(42.294674099999995, -71.11597456939973)",42.294674099999995,-71.11597456939973
Boston: Bradley Elementary School,350215,Public School,Principal,Claire Carney,110 Beachview Road,,East Boston,MA,2128,617-635-8422,617-635-6927,"PK,K,01,02,03,04,05,06","110 Beachview Road, East Boston, MA","(42.391763499999996, -71.00488394745778)",42.391763499999996,-71.00488394745778
Boston: Brighton High School,350505,Public School,Principal,Andrew Bott,25 Warren Street,,Brighton,MA,2135,617-635-9873,617-635-9892,"07,08,09,10,11,12","25 Warren Street, Brighton, MA","(42.349246750000006, -71.14544342050723)",42.349246750000006,-71.14544342050723
Boston: Burke High School,350525,Public School,Principal,Amilcar Silva,60 Washington Street,,Dorchester,MA,2121,617-635-9837,617-635-9852,"07,08,09,10,11,12","60 Washington Street, Dorchester, MA","(42.29732914583334, -71.071885)",42.29732914583334,-71.071885
Boston: Carter School,350036,Public School,Principal,Mark O'connor,270 Columbia Rd,,Dorchester,MA,2121,617-635-9832,617-635-7935,"07,08,09,10,11,12","270 Columbia Rd, Dorchester, MA","(42.3214888, -71.0528615)",42.3214888,-71.0528615
Boston: Channing Elementary School,350360,Public School,Principal,Carline Pignato,35 Sunnyside Street,,Hyde Park,MA,2136,617-635-8722,617-635-8564,"PK,K,01,02,03,04,05,06","35 Sunnyside Street, Hyde Park, MA","(42.2516416, -71.1333677)",42.2516416,-71.1333677
Boston: Charlestown High School,350515,Public School,Principal,Ajay Trivedi,240 Medford Street,,Charlestown,MA,2129,617-635-9914,617-635-9928,"07,08,09,10,11,12","240 Medford Street, Charlestown, MA","(42.3802573, -71.0609101)",42.3802573,-71.0609101
Boston: Chittick Elementary School,350154,Public School,Principal,Michelle Burnett-Herndon,154 Ruskindale Road,,Mattapan,MA,2126,617-635-8652,617-635-6925,"PK,K,01,02,03,04,05,06","154 Ruskindale Road, Mattapan, MA","(42.26736705, -71.10446074712252)",42.26736705,-71.10446074712252
Boston: Clap Elementary School,350298,Public School,Principal,Emma Fialka-Feldman,35 Harvest Street,,Dorchester,MA,2125,617-635-8672,617-635-6389,"PK,K,01,02,03,04,05,06","35 Harvest Street, Dorchester, MA","(42.3230248, -71.0580501)",42.3230248,-71.0580501
Boston: Community Academy,350518,Public School,Principal,Sonie Felix,25 Glen Road,,Jamaica Plain,MA,2130,617-635-8950,617-635-7731,"09,10,11,12","25 Glen Road, Jamaica Plain, MA","(42.30891325, -71.10348401327269)",42.30891325,-71.10348401327269
Boston: Community Academy of Science and Health,350581,Public School,Principal,Robin Lee,11 Charles Street,,Dorchester,MA,2122,617-635-8950,617-635-8948,"09,10,11,12","11 Charles Street, Dorchester, MA","(42.3008933, -71.06118323468127)",42.3008933,-71.06118323468127
Boston: Condon K-8 School,350146,Public School,Principal,Carlitta Camillo,200 D Street,,South Boston,MA,2127,617-635-8608,617-635-8611,"PK,K,01,02,03,04,05,06,07,08","200 D Street, South Boston, MA","(42.3380578, -71.0527511)",42.3380578,-71.0527511
Boston: Conley Elementary School,350122,Public School,Principal,Jennifer Eddington,450 Poplar Street,,Roslindale,MA,2131,617-635-8099,617-635-6417,"PK,K,01,02,03,04,05,06","450 Poplar Street, Roslindale, MA","(42.274649, -71.12728945634659)",42.274649,-71.12728945634659
Boston: Curley K-8 School,350020,Public School,Principal,Katherine Grassa,493 Centre St.,,Jamaica Plain,MA,2130,617-635-8176,617-635-8184,"PK,K,01,02,03,04,05,06,07,08","493 Centre St., Jamaica Plain, MA","(42.3185211, -71.11359911142097)",42.3185211,-71.11359911142097
Boston: Dearborn 6-12 STEM Academy,350074,Public School,Principal,Darlene Marcano,36 Winthrop St,,Roxbury,MA,2119,617-635-8412,617-635-8419,"06,07,08,09,10,11,12","36 Winthrop St, Roxbury, MA","(42.3264532, -71.0807518)",42.3264532,-71.0807518
Boston: Dever Elementary School,350268,Public School,Principal,Margaret Reardon,325 Mt Vernon Street,,Dorchester,MA,2125,617-635-8694,617-635-8097,"PK,K,01,02,03,04,05,06","325 Mt Vernon Street, Dorchester, MA","(42.3170241, -71.0434486610456)",42.3170241,-71.0434486610456
Boston: East Boston Early Education Center,350009,Public School,Principal,Joy Ramnarine,135 Grove Street,,East Boston,MA,2128,617-635-6456,617-635-8864,"PK,K,01","135 Grove Street, East Boston, MA","(42.2648, -71.1589)",42.2648,-71.1589
Boston: East Boston High School,350530,Public School,Principal,Phillip Brangiforte,86 White Street,,East Boston,MA,2128,617-635-9896,617-635-9726,"07,08,09,10,11,12","86 White Street, East Boston, MA","(42.3811091, -71.03495138168807)",42.3811091,-71.03495138168807
Boston: Edison K-8 School,350375,Public School,Principal,Elvis Henriquez,60 Glenmont Road,,Brighton,MA,2135,617-635-8436,617-635-8446,"PK,K,01,02,03,04,05,06,07,08","60 Glenmont Road, Brighton, MA","(42.3454253, -71.16065526960352)",42.3454253,-71.16065526960352
Boston: Eliot K-8 Innovation School,350096,Public School,Principal,Traci Griffith,16 Charter Street,,Boston,MA,2113,617-635-8545,617-635-8550,"PK,K,01,02,03,04,05,06,07,08","16 Charter Street, Boston, MA","(42.3660949, -71.0533691)",42.3660949,-71.0533691
Boston: Ellis Elementary School,350072,Public School,Principal,Lemuel Ivy,302 Walnut Avenue,,Roxbury,MA,2119,617-635-8257,617-635-8262,"PK,K,01,02,03,04,05,06","302 Walnut Avenue, Roxbury, MA","(42.316402, -71.093122)",42.316402,-71.093122
Boston: Ellison-Parks Early Education School,350008,Public School,Principal,Benjamin Rockoff,108 Babson Street,,Mattapan,MA,2126,617-635-7680,617-635-6491,"PK,K,01,02,03","108 Babson Street, Mattapan, MA","(42.27175939999999, -71.09168648848953)",42.27175939999999,-71.09168648848953
Boston: English High School,350535,Public School,Principal,Caitlin Murphy,144 McBride Street,,Jamaica Plain,MA,2130,617-635-8979,617-635-8988,"07,08,09,10,11,12","144 McBride Street, Jamaica Plain, MA","(42.3063673, -71.1092262)",42.3063673,-71.1092262
Boston: Everett Elementary School,350088,Public School,Principal,Gwendolyn Rice,71 Pleasant Street,,Dorchester,MA,2125,617-635-8778,617-635-8780,"PK,K,01,02,03,04,05,06","71 Pleasant Street, Dorchester, MA","(42.31363965, -71.05981655299136)",42.31363965,-71.05981655299136
Boston: Excel High School,350522,Public School,Principal,Jerleen John,95 G. Street,South Boston Education Complex,South Boston,MA,2127,617-635-9870,617-635-9711,"09,10,11,12","95 G. Street, South Boston, MA","(42.33289655, -71.04482751902502)",42.33289655,-71.04482751902502
Boston: Fenway High School,350540,Public School,Principal,Geoffrey Walker,67 Alleghany St,,Roxbury,MA,2120,617-635-9911,617-635-9204,"09,10,11,12","67 Alleghany St, Roxbury, MA","(42.3306376, -71.099189)",42.3306376,-71.099189
