Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade,location,coordinates,lat,lon
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,4120530,Charter School,Principal,Farida Graham,1 Westinghouse Plaza,Building B,Hyde Park,MA,2136,617-361-0050,617-361-0045,"05,06,07,08,09,10,11,12","1 Westinghouse Plaza, Hyde Park, MA","(42.2455401, -71.1321278)",42.2455401,-71.1321278
Blue Hills Regional Vocational Technical: Blue Hills Regional Vocational Technical,8060605,Public School,Principal,Geoff Zini,800 Randolph Street,,Canton,MA,2021,781-828-5800,781-828-3872,"09,10,11,12","800 Randolph Street, Canton, MA","(42.184109500000005, -71.10545238013029)",42.184109500000005,-71.10545238013029
Boston: Adams Elementary School,350302,Public School,Principal,Joanna McKeigue Cruz,165 Webster Street,,East Boston,MA,2128,617-635-8383,617-635-7822,"PK,K,01,02,03,04,05,06","165 Webster Street, East Boston, MA","(42.36552815, -71.03494070052452)",42.36552815,-71.03494070052452
Boston: Alighieri Dante Montessori School,350066,Public School,Principal,Jessica Gorham,37 Gove Street,,East Boston,MA,2128,617-635-8529,617-635-7691,"PK,K,01,02,03,04,05,06","37 Gove Street, East Boston, MA","(42.3715646, -71.0380083)",42.3715646,-71.0380083
Boston: Another Course To College,350541,Public School,Principal,Michele Pellam,612 Metropolitan Av,,Hyde Park,MA,2136,617-635-8865,617-635-8866,"09,10,11,12","612 Metropolitan Av, Hyde Park, MA","(42.26519695, -71.11739507455079)",42.26519695,-71.11739507455079
Boston: Baldwin Early Learning Pilot Academy,350003,Public School,Principal,Min-jen Taylor,121 Corey Road,,Brighton,MA,2135,617-635-8409,617-635-9544,"PK,K,01","121 Corey Road, Brighton, MA","(42.3420737, -71.14044353378111)",42.3420737,-71.14044353378111
Boston: Bates Elementary School,350278,Public School,Principal,Rodolfo Morales,426 Beech Street,,Roslindale,MA,2131,617-635-8064,617-635-8068,"PK,K,01,02,03,04,05,06","426 Beech Street, Roslindale, MA","(42.2776778, -71.13511027886919)",42.2776778,-71.13511027886919
Boston: Beethoven Elementary School,350021,Public School,Principal,Edward Puliafico,5125 Washington Street,,West Roxbury,MA,2132,617-635-8149,617-635-8155,"PK,K,01,02","5125 Washington Street, West Roxbury, MA","(42.263526, -71.1558297)",42.263526,-71.1558297
Boston: Blackstone Elementary School,350390,Public School,Principal,Shammah Daniels,380 Shawmut Avenue,,Boston,MA,2118,617-635-8471,617-635-7975,"PK,K,01,02,03,04,05,06","380 Shawmut Avenue, Boston, MA","(42.341143, -71.072126)",42.341143,-71.072126
Boston: Boston Arts Academy,350546,Public School,Principal,Anne Clark,174 Ipswich Street,,Boston,MA,2215,617-635-6470,617-635-8854,"09,10,11,12","174 Ipswich Street, Boston, MA","(42.347005, -71.094415)",42.347005,-71.094415
