INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,streetlights_within_10_m
192000011,3114,,INVESTIGATE PROPERTY,C11,345,1,2019-01-01 00:30:00,2019,1,Tuesday,0,,LONGFELLOW ST,42.30269786,-71.06601484,"(42.30269786, -71.06601484)",0
192000030,1402,,VANDALISM,E18,478,1,2019-01-01 02:04:11,2019,1,Tuesday,2,,MARIPOSA ST,42.26881757,-71.1065192,"(42.26881757, -71.1065192)",0
192000312,423,,ASSAULT - AGGRAVATED,B2,262,1,2019-01-02 01:05:00,2019,1,Wednesday,1,,BROOK AVE,42.32181505,-71.07405838,"(42.32181505, -71.07405838)",1
192000560,3114,,INVESTIGATE PROPERTY,C11,245,1,2019-01-02 22:15:00,2019,1,Wednesday,22,,SYDNEY ST,42.31810456,-71.05258008,"(42.31810456, -71.05258008)",0
192000844,3114,,INVESTIGATE PROPERTY,E13,906,1,2019-01-03 20:10:00,2019,1,Thursday,20,,BICKFORD ST,42.32597056,-71.10134307,"(42.32597056, -71.10134307)",0
192000890,3114,,INVESTIGATE PROPERTY,B3,439,1,2019-01-04 03:50:00,2019,1,Friday,3,,BLUE HILL AVE,42.29056131,-71.08926032,"(42.29056131, -71.08926032)",2
192001195,3114,,INVESTIGATE PROPERTY,B2,316,1,2019-01-05 03:08:00,2019,1,Saturday,3,,WALNUT AVE,42.31582818,-71.093471,"(42.31582818, -71.093471)",1
192001403,3115,,INVESTIGATE PERSON,E18,498,1,2019-01-05 21:10:00,2019,1,Saturday,21,,HYDE PARK AVE,42.27205731,-71.12024557,"(42.27205731, -71.12024557)",1
192001459,3114,,INVESTIGATE PROPERTY,C11,336,1,2019-01-06 03:16:00,2019,1,Sunday,3,,EUNICE ST,42.30473813,-71.07025782,"(42.30473813, -71.07025782)",0
192001675,3114,,INVESTIGATE PROPERTY,D14,784,1,2019-01-07 01:47:00,2019,1,Monday,1,,WASHINGTON ST,42.34499951,-71.14507822,"(42.34499951, -71.14507822)",0
192001666,413,,ASSAULT - AGGRAVATED - BATTERY,B3,421,1,2019-01-08 20:05:00,2019,1,Tuesday,20,,MORTON ST,42.28061219,-71.0835015,"(42.28061219, -71.0835015)",0
192002800,423,,ASSAULT - AGGRAVATED,B2,324,1,2019-01-11 01:09:00,2019,1,Friday,1,,DEWEY ST,42.3167668,-71.07714058,"(42.3167668, -71.07714058)",1
192003039,3114,,INVESTIGATE PROPERTY,B2,307,1,2019-01-11 21:02:00,2019,1,Friday,21,,COBDEN ST,42.31741911,-71.09567998,"(42.31741911, -71.09567998)",1
192003069,413,,ASSAULT - AGGRAVATED - BATTERY,B3,421,1,2019-01-11 23:06:00,2019,1,Friday,23,,HALBORN ST,42.2754007,-71.08898517,"(42.2754007, -71.08898517)",0
192003087,2662,,BALLISTICS EVIDENCE/FOUND,C11,362,1,2019-01-12 02:31:00,2019,1,Saturday,2,,MOULTRIE ST,42.29128483,-71.07033894,"(42.29128483, -71.07033894)",1
192003523,2662,,BALLISTICS EVIDENCE/FOUND,B3,429,1,2019-01-13 22:07:00,2019,1,Sunday,22,,LUCERNE ST,42.28472661,-71.08921977,"(42.28472661, -71.08921977)",1
192003549,3114,,INVESTIGATE PROPERTY,B2,280,1,2019-01-14 03:53:00,2019,1,Monday,3,,DUDLEY ST,42.32872577,-71.08382221,"(42.32872577, -71.08382221)",2
192004125,3114,,INVESTIGATE PROPERTY,E13,906,1,2019-01-16 00:36:00,2019,1,Wednesday,0,,HEATH ST,42.32638821,-71.10181755,"(42.32638821, -71.10181755)",0
192004672,3114,,INVESTIGATE PROPERTY,E13,916,1,2019-01-17 23:56:00,2019,1,Thursday,23,,BICKFORD ST,42.3248329,-71.10164761,"(42.3248329, -71.10164761)",2
192004990,2662,,BALLISTICS EVIDENCE/FOUND,B3,457,1,2019-01-19 05:49:00,2019,1,Saturday,5,,MCLELLAN ST,42.29946178,-71.08360152,"(42.29946178, -71.08360152)",1
192005158,413,,ASSAULT - AGGRAVATED - BATTERY,B2,320,1,2019-01-19 23:57:00,2019,1,Saturday,23,,MAPLE ST,42.30978735,-71.08503099,"(42.30978735, -71.08503099)",1
192005346,3115,,INVESTIGATE PERSON,C11,235,1,2019-01-20 22:04:00,2019,1,Sunday,22,,CRESCENT AVE,42.31894113,-71.05483553,"(42.31894113, -71.05483553)",0
192006395,3114,,INVESTIGATE PROPERTY,B2, ,1,2019-01-24 22:43:00,2019,1,Thursday,22,,CURLEY ST,,,,0
192006419,3115,,INVESTIGATE PERSON,B3,409,1,2019-01-25 01:39:00,2019,1,Friday,1,,CEDAR ST,42.27374047,-71.07572623,"(42.27374047, -71.07572623)",0
192006718,3114,,INVESTIGATE PROPERTY,B3,439,1,2019-01-26 00:44:00,2019,1,Saturday,0,,TALBOT AVE,42.292687,-71.08038431,"(42.292687, -71.08038431)",0
192006692,3115,,INVESTIGATE PERSON,E18,818,1,2019-01-26 00:58:00,2019,1,Saturday,0,,MANNING ST,42.27966834,-71.11455763,"(42.27966834, -71.11455763)",0
192006910,3114,,INVESTIGATE PROPERTY,B3,448,1,2019-01-26 21:33:00,2019,1,Saturday,21,,NORWELL ST,42.2921741,-71.0772951,"(42.2921741, -71.0772951)",1
192007193,1501,,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B2,295,1,2019-01-28 01:08:00,2019,1,Monday,1,,CIRCUIT ST,42.32348041,-71.08601682,"(42.32348041, -71.08601682)",0
192007176,423,,ASSAULT - AGGRAVATED,B2, ,1,2019-01-28 01:09:00,2019,1,Monday,1,,WALNUT AVE,42.31582818,-71.093471,"(42.31582818, -71.093471)",1
192008498,423,,ASSAULT - AGGRAVATED,E13,307,1,2019-02-01 21:08:00,2019,2,Friday,21,,WESTMINSTER AVE,42.31558601,-71.09399364,"(42.31558601, -71.09399364)",1
192008538,413,,ASSAULT - AGGRAVATED - BATTERY,C11,336,1,2019-02-02 01:40:00,2019,2,Saturday,1,,BARRY ST,42.30775042,-71.06971434,"(42.30775042, -71.06971434)",0
192008796,3114,,INVESTIGATE PROPERTY,D14,816,1,2019-02-03 01:00:00,2019,2,Sunday,1,,EMPIRE ST,42.35811514,-71.12761371,"(42.35811514, -71.12761371)",0
192008781,2662,,BALLISTICS EVIDENCE/FOUND,B3,426,1,2019-02-03 01:12:00,2019,2,Sunday,1,,RIVER ST,42.2687143,-71.09221142,"(42.2687143, -71.09221142)",2
192008813,311,,ROBBERY - COMMERCIAL,D4,624,1,2019-02-03 02:57:00,2019,2,Sunday,2,,BROOKLINE AVE,42.34746229,-71.098266,"(42.34746229, -71.098266)",1
192008812,3114,,INVESTIGATE PROPERTY,B3,435,1,2019-02-03 03:11:00,2019,2,Sunday,3,,WENTWORTH TER,42.28649424,-71.07406775,"(42.28649424, -71.07406775)",1
192008825,3114,,INVESTIGATE PROPERTY,E13, ,1,2019-02-03 05:29:00,2019,2,Sunday,5,,  BSTN MA ,,,,0
192008975,3114,,INVESTIGATE PROPERTY,B2,302,1,2019-02-03 22:07:00,2019,2,Sunday,22,,HIGHLAND ST,42.32339116,-71.09547478,"(42.32339116, -71.09547478)",1
192008971,3114,,INVESTIGATE PROPERTY,E18,493,1,2019-02-03 22:10:00,2019,2,Sunday,22,,AYLES RD,42.26617656,-71.11294909,"(42.26617656, -71.11294909)",0
192009000,2662,,BALLISTICS EVIDENCE/FOUND,B3,444,1,2019-02-03 23:25:00,2019,2,Sunday,23,,ESMOND ST,42.29861977,-71.08511007,"(42.29861977, -71.08511007)",0
192009040,3114,,INVESTIGATE PROPERTY,B2,310,1,2019-02-04 00:10:00,2019,2,Monday,0,,ELBERT ST,42.3173316,-71.08569648,"(42.3173316, -71.08569648)",0
192009036,3114,,INVESTIGATE PROPERTY,B2,328,1,2019-02-04 03:10:00,2019,2,Monday,3,,INTERVALE ST,42.30942136,-71.07460033,"(42.30942136, -71.07460033)",1
192009311,3114,,INVESTIGATE PROPERTY,B3,421,1,2019-02-04 23:13:00,2019,2,Monday,23,,W SELDEN ST,42.27832743,-71.08506284,"(42.27832743, -71.08506284)",0
192009324,3114,,INVESTIGATE PROPERTY,B2,320,1,2019-02-05 03:03:00,2019,2,Tuesday,3,,HARTWELL ST,42.30936369,-71.08416781,"(42.30936369, -71.08416781)",1
192010441,413,,ASSAULT - AGGRAVATED - BATTERY,C11,345,1,2019-02-09 00:09:00,2019,2,Saturday,0,,LONGFELLOW ST,42.30269786,-71.06601484,"(42.30269786, -71.06601484)",0
192010887,3114,,INVESTIGATE PROPERTY,B2,316,1,2019-02-10 22:50:00,2019,2,Sunday,22,,CRAWFORD ST,42.31499792,-71.09194489,"(42.31499792, -71.09194489)",1
192010893,3114,,INVESTIGATE PROPERTY,B2,318,1,2019-02-10 23:24:00,2019,2,Sunday,23,,SEAVER ST,42.30878844,-71.09055622,"(42.30878844, -71.09055622)",0
192010895,3114,,INVESTIGATE PROPERTY,D4,273,1,2019-02-10 23:53:00,2019,2,Sunday,23,,LENOX ST,42.33672422,-71.08122728,"(42.33672422, -71.08122728)",1
192011159,3114,,INVESTIGATE PROPERTY,C11,339,1,2019-02-11 22:51:00,2019,2,Monday,22,,CHURCH ST,42.30811613,-71.05961133,"(42.30811613, -71.05961133)",0
192011167,3114,,INVESTIGATE PROPERTY,C11,461,1,2019-02-12 01:21:00,2019,2,Tuesday,1,,WASHINGTON ST,42.30144703,-71.07681352,"(42.30144703, -71.07681352)",2
192012246,3114,,INVESTIGATE PROPERTY,B2,309,1,2019-02-16 00:42:00,2019,2,Saturday,0,,N CHARLAME TER,42.31951184,-71.08412738,"(42.31951184, -71.08412738)",1
192012233,2662,,BALLISTICS EVIDENCE/FOUND,B3,426,1,2019-02-16 02:17:00,2019,2,Saturday,2,,RIVER ST,42.2687143,-71.09221142,"(42.2687143, -71.09221142)",2
192012234,1501,,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3, ,1,2019-02-16 02:23:00,2019,2,Saturday,2,,MORTON ST,,,,0
192012430,3114,,INVESTIGATE PROPERTY,A7,33,1,2019-02-16 21:10:00,2019,2,Saturday,21,,LAMSON ST,42.36639934,-71.03262579,"(42.36639934, -71.03262579)",0
192013617,3114,,INVESTIGATE PROPERTY,B3,437,1,2019-02-21 22:06:00,2019,2,Thursday,22,,SOUTHERN AVE,42.29026222,-71.07473859,"(42.29026222, -71.07473859)",0
192013647,3001,,DEATH INVESTIGATION,B2,178,1,2019-02-22 02:20:00,2019,2,Friday,2,,GERARD ST,42.32896463,-71.07250821,"(42.32896463, -71.07250821)",0
192013902,3119,,FIREARM/WEAPON - FOUND OR CONFISCATED,E13,912,1,2019-02-22 22:52:00,2019,2,Friday,22,,PARKER ST,42.32469431,-71.10087905,"(42.32469431, -71.10087905)",0
192014146,3114,,INVESTIGATE PROPERTY,E5,724,1,2019-02-23 21:34:00,2019,2,Saturday,21,,VFW PKWY,42.26932087,-71.17204941,"(42.26932087, -71.17204941)",0
192014366,3114,,INVESTIGATE PROPERTY,E18,536,1,2019-02-24 22:04:00,2019,2,Sunday,22,,LEIGHTON RD,42.25244001,-71.14307666,"(42.25244001, -71.14307666)",0
192014708,3006,,SICK/INJURED/MEDICAL - PERSON,C11,257,1,2019-02-26 01:26:56,2019,2,Tuesday,1,,MOUNT CUSHING TER,42.31579369,-71.06370874,"(42.31579369, -71.06370874)",0
