School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,182,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
Abington - Abington High,10505,589,12.0,2.0,1.4,1.4,2.0,3.4,2007-08
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,166,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
Academy of Strategic Learning Charter (District) - Academy of Strategic Learning Charter School,4150505,38,2.0,5.3,0.0,0.0,0.0,18.2,2007-08
Acton-Boxborough - Acton-Boxborough Reg High,6000505,"1,958",7.0,0.4,0.4,0.0,0.2,0.8,2007-08
Adams-Cheshire - Hoosac Valley High,6030505,461,14.0,3.0,2.1,2.6,6.7,0.0,2007-08
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,97,4.0,4.1,4.1,,,,2007-08
Agawam - Agawam High,50505,"1,309",18.0,1.4,1.9,0.9,2.5,0.0,2007-08
Amesbury - Amesbury High,70505,724,20.0,2.8,1.1,3.2,3.9,2.9,2007-08
Amherst-Pelham - Amherst Regional High,6050505,"1,219",25.0,2.1,1.0,1.7,1.6,3.9,2007-08
Andover - Andover High,90505,"1,734",4.0,0.2,0.0,0.0,0.7,0.2,2007-08
Arlington - Arlington High,100505,"1,126",15.0,1.3,0.7,0.8,2.0,1.8,2007-08
Ashburnham-Westminster - Oakmont Regional H S,6100505,710,7.0,1.0,0.0,1.7,1.6,0.6,2007-08
Ashland - Ashland High,140505,721,5.0,0.7,0.0,0.0,2.2,0.6,2007-08
Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,8010605,930,11.0,1.2,1.2,0.4,1.3,1.9,2007-08
Athol-Royalston - Athol High,6150505,523,35.0,6.7,4.3,5.0,8.5,9.2,2007-08
Athol-Royalston - Ellen Bigelow,6150005,11,1.0,9.1,,,,,2007-08
Attleboro - Attleboro High,160505,"1,813",90.0,5.0,4.5,4.9,5.4,5.1,2007-08
Auburn - Auburn Senior High,170505,686,17.0,2.5,0.0,4.0,3.4,2.5,2007-08
Avon - Avon Middle High School,180510,239,3.0,1.3,1.7,0.0,1.6,1.7,2007-08
Ayer - Ayer High,190510,386,10.0,2.6,1.2,2.0,2.7,4.3,2007-08
Barnstable - Barnstable High,200505,"1,748",58.0,3.3,2.8,4.1,3.4,2.9,2007-08
Bedford - Bedford High,230505,764,6.0,0.8,0.0,0.5,1.4,1.2,2007-08
Belchertown - Belchertown High,240505,775,8.0,1.0,2.2,0.0,1.1,0.6,2007-08
Bellingham - Bellingham High School,250505,757,15.0,2.0,1.6,1.5,1.1,3.9,2007-08
Bellingham - Primavera Jr/Sr H S,250510,28,4.0,14.3,,16.7,7.7,,2007-08
Belmont - Belmont High,260505,"1,156",9.0,0.8,0.6,0.7,0.3,1.4,2007-08
Berkshire Arts and Technology Charter (District) - Berkshire Arts and Technology Charter School,4140305,70,1.0,1.4,0.0,0.0,5.9,0.0,2007-08
Berkshire Hills - Monument Mt Reg High,6180505,647,24.0,3.7,0.0,2.3,5.3,7.2,2007-08
Berlin-Boylston - Tahanto Reg High,6200505,300,3.0,1.0,1.4,0.0,1.4,1.4,2007-08
Beverly - Beverly High,300505,"1,245",26.0,2.1,3.1,1.9,1.7,1.6,2007-08
Billerica - Billerica Memorial High School,310505,"1,514",22.0,1.5,0.7,2.8,1.9,0.3,2007-08
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,"1,045",3.0,0.3,0.0,0.0,0.8,0.4,2007-08
Blackstone-Millville - Blackstone Millville RHS,6220505,573,7.0,1.2,0.8,3.2,0.6,0.0,2007-08
Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,8060605,851,3.0,0.4,0.0,0.0,0.5,1.0,2007-08
Boston - Academy of Public Service,350502,281,31.0,11.0,15.4,13.0,6.5,6.8,2007-08
Boston - Another Course To College,350541,228,16.0,7.0,3.4,3.2,14.0,8.6,2007-08
Boston - Boston Adult Academy,350548,280,60.0,21.4,,27.3,19.2,20.5,2007-08
Boston - Boston Arts Academy,350546,438,10.0,2.3,1.6,0.8,1.0,6.3,2007-08
Boston - Boston Community Leadership Academy,350558,400,10.0,2.5,2.6,1.0,3.4,3.1,2007-08
Boston - Boston International  High School,350507,164,11.0,6.7,6.1,9.1,5.5,4.8,2007-08
Boston - Boston Latin,350560,"1,609",4.0,0.2,0.5,0.5,0.0,0.0,2007-08
Boston - Boston Latin Academy,350545,"1,107",5.0,0.5,0.3,0.4,0.7,0.5,2007-08
Boston - Brighton High,350505,"1,301",139.0,10.7,4.6,11.4,10.9,15.9,2007-08
Boston - Brook Farm Business and Service Career Academy,350576,363,41.0,11.3,8.5,6.1,17.6,16.7,2007-08
Boston - Carter Develop Day Care,350036,16,0.0,0.0,,,,,2007-08
Boston - Charlestown High,350515,"1,215",131.0,10.8,7.9,17.1,5.2,13.2,2007-08
Boston - Community Academy,350518,75,18.0,24.0,,15.6,40.0,22.7,2007-08
Boston - Community Academy of Science and Health,350581,385,34.0,8.8,5.3,16.0,12.5,3.2,2007-08
Boston - East Boston High,350530,"1,476",138.0,9.3,11.1,8.7,6.9,11.1,2007-08
Boston - Egleston Comm High School,350543,118,36.0,30.5,41.7,25.0,34.7,16.0,2007-08
Boston - Excel High School,350522,393,35.0,8.9,11.9,8.1,8.0,5.6,2007-08
Boston - Fenway High School,350540,289,5.0,1.7,2.8,0.0,2.8,1.5,2007-08
Boston - Horace Mann School for the Deaf,350750,35,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
Boston - Jeremiah E Burke High,350525,730,154.0,21.1,18.0,30.4,19.0,21.2,2007-08
Boston - Madison Park High,350537,"1,563",119.0,7.6,7.3,8.6,6.3,8.4,2007-08
