School Name,School Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12,Year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,351,2.0,0.6,0.0,0.0,1.2,1.3,2015-16
Abington - Abington High,10505,446,3.0,0.7,0.0,0.8,0.0,1.8,2015-16
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,220,2.0,0.9,0.0,2.2,1.9,0.0,2015-16
Acton-Boxborough - Acton-Boxborough Regional High,6000505,"1,902",6.0,0.3,0.0,0.4,0.4,0.4,2015-16
Adams-Cheshire - Hoosac Valley Middle & High School,6030505,345,15.0,4.3,1.0,4.5,2.3,11.4,2015-16
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,561,1.0,0.2,0.0,0.0,0.0,0.5,2015-16
Agawam - Agawam High,50505,"1,249",20.0,1.6,0.6,1.3,2.2,2.2,2015-16
Amesbury - Amesbury High,70505,615,5.0,0.8,0.7,0.7,1.3,0.6,2015-16
Amesbury - Amesbury Innovation High School,70515,30,4.0,13.3,,11.1,8.3,25.0,2015-16
Amherst-Pelham - Amherst Regional High,6050505,923,14.0,1.5,0.0,1.3,2.6,2.1,2015-16
Andover - Andover High,90505,"1,782",1.0,0.1,0.0,0.0,0.0,0.2,2015-16
Arlington - Arlington High,100505,"1,253",0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Ashburnham-Westminster - Oakmont Regional High School,6100505,701,1.0,0.1,0.6,0.0,0.0,0.0,2015-16
Ashland - Ashland High,140505,739,3.0,0.4,0.0,0.6,0.5,0.5,2015-16
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,"1,079",6.0,0.6,0.0,0.0,0.4,2.0,2015-16
Athol-Royalston - Athol High,6150505,354,12.0,3.4,1.2,3.1,8.8,1.1,2015-16
Atlantis Charter (District) - Atlantis Charter School,4910550,108,0.0,0.0,0.0,0.0,,,2015-16
Attleboro - Attleboro Community Academy,160515,57,23.0,40.4,,,30.8,50.0,2015-16
Attleboro - Attleboro High,160505,"1,664",16.0,1.0,1.0,0.7,1.7,0.5,2015-16
Auburn - Auburn Senior High,170505,698,4.0,0.6,0.0,0.6,1.3,0.6,2015-16
Avon - Avon Middle High School,180510,191,6.0,3.1,2.0,2.1,2.0,7.0,2015-16
Ayer Shirley School District - Ayer Shirley Regional High School,6160505,401,9.0,2.2,3.2,1.1,1.1,3.3,2015-16
Barnstable - Barnstable High,200505,"1,512",35.0,2.3,1.8,2.1,4.1,1.1,2015-16
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,65,1.0,1.5,1.5,,,,2015-16
Bedford - Bedford High,230505,859,2.0,0.2,0.0,0.0,1.0,0.0,2015-16
Belchertown - Belchertown High,240505,701,4.0,0.6,0.5,0.6,0.6,0.6,2015-16
Bellingham - Bellingham High School,250505,547,2.0,0.4,0.0,0.0,1.5,0.0,2015-16
Bellingham - Paul J. Primavera Jr./Sr. High School,250510,29,2.0,6.9,0.0,0.0,,0.0,2015-16
Belmont - Belmont High,260505,"1,245",1.0,0.1,0.0,0.0,0.0,0.3,2015-16
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305,145,2.0,1.4,1.6,2.5,0.0,0.0,2015-16
Berkshire Hills - Monument Mt Regional High,6180505,539,2.0,0.4,0.0,0.0,0.0,1.4,2015-16
Berlin-Boylston - Tahanto Regional High,6200505,306,6.0,2.0,8.0,0.0,0.0,0.0,2015-16
Beverly - Beverly High,300505,"1,290",21.0,1.6,2.0,0.6,2.1,1.8,2015-16
Billerica - Billerica Memorial High School,310505,"1,201",18.0,1.5,2.0,0.9,1.4,1.7,2015-16
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,"1,199",2.0,0.2,0.0,0.0,0.3,0.3,2015-16
Blackstone-Millville - Blackstone Millville RHS,6220505,464,6.0,1.3,1.6,1.9,0.9,0.9,2015-16
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,882,2.0,0.2,0.0,0.4,0.5,0.0,2015-16
Boston - Another Course To College,350541,237,4.0,1.7,3.7,3.2,0.0,0.0,2015-16
Boston - Boston Adult Academy,350548,170,85.0,50.0,,,45.6,52.9,2015-16
Boston - Boston Arts Academy,350546,437,8.0,1.8,0.8,3.0,2.7,1.0,2015-16
Boston - Boston Collaborative High School,350755,183,26.0,14.2,5.9,0.0,7.7,28.0,2015-16
Boston - Boston Community Leadership Academy,350558,502,9.0,1.8,0.8,2.3,2.2,1.9,2015-16
Boston - Boston International High School,350507,375,16.0,4.3,5.6,6.3,0.0,2.9,2015-16
Boston - Boston Latin,350560,"1,648",2.0,0.1,0.2,0.2,0.0,0.0,2015-16
Boston - Boston Latin Academy,350545,"1,172",5.0,0.4,0.6,0.6,0.0,0.4,2015-16
Boston - Brighton High,350505,922,97.0,10.5,10.0,8.7,14.5,9.3,2015-16
Boston - Carter Developmental Center,350036,18,0.0,0.0,0.0,,,0.0,2015-16
